videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,B2,7:25,7:31,0:06:00,6,B8_FR30_1259 no caffeine
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,B2,10:20,10:31,0:11:00,11,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,A2,10:55,10:57,0:02:00,2,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,1:36,1:59,0:23:00,23,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,2:04,2:21,0:17:00,17,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,2:28,2:47,0:19:00,19,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,2:51,3:13,0:22:00,22,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,3:21,3:47,0:26:00,26,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,4:31,4:46,0:15:00,15,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,4:52,5:11,0:19:00,19,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,5:19,5:39,0:20:00,20,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,5:46,5:53,0:07:00,7,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,6:01,6:04,0:03:00,3,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,6:24,6:25,0:01:00,1,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,7:06,7:07,0:01:00,1,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,7:14,7:15,0:01:00,1,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,9:11,9:40,0:29:00,29,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,9:43,9:51,0:08:00,8,B8_FR30_1259
B8_B3_52623_1259_FR30_1,B8,B3,FR30,No,C2,9:57,10:00,0:03:00,3,B8_FR30_1259
B50_B3_60223_1031_FR30_1,B50,B3,FR30,No,B1,6:48,6:53,0:05:00,5,B50_FR30_1031
B50_B3_60223_1031_FR30_1,B50,B3,FR30,No,A1,7:01,7:08,0:07:00,7,B50_FR30_1031
B50_B3_60223_1031_FR30_1,B50,B3,FR30,No,A2,7:43,7:50,0:07:00,7,B50_FR30_1031
B50_B3_60223_1031_FR30_1,B50,B3,FR30,No,B1,8:27,8:31,0:04:00,4,B50_FR30_1031
B50_B3_60223_1031_FR30_1,B50,B3,FR30,No,C1,8:49,8:50,0:01:00,1,B50_FR30_1031
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,1:35,2:22,0:47:00,47,B21_FR30_1052*
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,2:55,3:22,0:27:00,27,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,3:27,3:35,0:08:00,8,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,3:52,4:29,0:37:00,37,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,5:11,5:30,0:19:00,19,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,5:45,5:57,0:12:00,12,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,6:18,6:24,0:06:00,6,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,6:34,6:58,0:24:00,24,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,7:16,7:32,0:16:00,16,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,8:19,8:30,0:11:00,11,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,8:49,9:04,0:15:00,15,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,9:22,9:23,0:01:00,1,B21_FR30_1052
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,C1,10:09,,,0,B21_FR30_1052 video cut off
B21_B3_60223_1052_FR30_1,B21,B3,FR30,No,A1,11:03,11:05,0:02:00,2,B21_FR30_1052
B58_B3_60523_1159_FR30_1,B58,B3,FR30,No,C1,1:31,2:06,,0,B58_FR30_1159*
B58_B3_60523_1159_FR30_1,B58,B3,FR30,No,A4,4:23,4:40,0:17:00,17,B58_FR30_1159
B58_B3_60523_1159_FR30_1,B58,B3,FR30,No,A4,8:25,8:36,0:11:00,11,B58_FR30_1159
